Year,idGame,gameType,periodType,numberPeriod,typeDescKey,eventOwnerTeam,gameSeconds,previousEventType,timeSinceLastEvent,previousXCoord,previousYCoord,xCoord,yCoord,zoneShoot,shootingPlayer,goaliePlayer,shotType,teamSide,emptyGoalNet,isGoalAdvantage,isGoal,shotDistance,distanceFromLastEvent,rebound,speedFromLastEvent,shotAngle,reboundAngleShot,offensivePressureTime,distance_tir_bin,angle_tir_bin,powerPlayActive
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,111,hit,11.0,72.0,37.0,-50.0,36.0,O,Michal Kempny,Connor Hellebuyck,snap,home,0,Neutral,0,53.1,122.0,False,11.090909090909092,42.70938995736147,0.0,0.0,40-59,40-59,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,115,shot-on-goal,4.0,-50.0,36.0,-85.0,-25.0,O,John Carlson,Connor Hellebuyck,wrist,home,0,Neutral,0,25.3,70.3,True,17.575,80.90972307917768,41.58050446454624,4.0,20-39,80-99,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Jets,124,takeaway,1.0,-39.0,-28.0,73.0,-16.0,O,Brandon Tanev,Philipp Grubauer,backhand,away,0,Neutral,0,22.6,112.6,False,112.6,45.00000000000001,0.0,0.0,20-39,40-59,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,151,hit,5.0,10.0,38.0,-29.0,-6.0,O,Brooks Orpik,Connor Hellebuyck,slap,home,0,Neutral,0,60.3,58.8,False,11.76,5.710593137499568,0.0,36.0,60-79,0-19,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Jets,159,shot-on-goal,8.0,-29.0,-6.0,23.0,-34.0,N,Joel Armia,Philipp Grubauer,wrist,away,0,Neutral,0,74.2,59.1,True,7.3875,27.255328374943065,20.90678096503649,35.0,60-79,20-39,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,203,faceoff,5.0,-69.0,-22.0,-51.0,-20.0,O,Alex Ovechkin,Connor Hellebuyck,slap,home,0,Advantage,0,42.9,18.1,False,3.62,27.758540601060027,0.0,52.0,40-59,20-39,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,241,faceoff,8.0,-69.0,-22.0,-59.0,19.0,O,John Carlson,Connor Hellebuyck,slap,home,0,Advantage,0,35.5,42.2,False,5.275,32.34744349944203,0.0,38.0,20-39,20-39,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,254,stoppage,1.0,,,-84.0,-10.0,O,T.J. Oshie,Connor Hellebuyck,wrist,home,0,Advantage,0,11.2,,False,,63.43494882292201,0.0,13.0,0-19,60-79,False
2017,2017021065,regular-season,REG,1,goal,Capitals,275,blocked-shot,6.0,-69.0,11.0,-57.0,-20.0,O,Alex Ovechkin,Connor Hellebuyck,wrist,home,0,Advantage,1,37.7,33.2,False,5.533333333333334,32.00538320808348,0.0,21.0,20-39,20-39,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,307,faceoff,32.0,0.0,0.0,-80.0,7.0,O,Nicklas Backstrom,Connor Hellebuyck,wrist,home,0,Advantage,0,11.4,80.3,False,2.509375,37.8749836510982,0.0,32.0,0-19,20-39,False
2017,2017021065,regular-season,REG,1,goal,Jets,333,giveaway,3.0,16.0,-30.0,77.0,-3.0,O,Nikolaj Ehlers,Philipp Grubauer,wrist,away,0,Neutral,1,12.4,66.7,False,22.23333333333333,14.036243467926456,0.0,174.0,0-19,0-19,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,344,faceoff,11.0,0.0,0.0,-82.0,35.0,O,Jay Beagle,Connor Hellebuyck,wrist,home,0,Neutral,0,35.7,89.2,False,8.10909090909091,78.69006752597979,0.0,37.0,20-39,60-79,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Jets,421,faceoff,76.0,-69.0,22.0,55.0,24.0,O,Patrik Laine,Philipp Grubauer,slap,away,0,Advantage,0,41.6,124.0,False,1.631578947368421,35.21759296819271,0.0,88.0,40-59,20-39,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,495,hit,17.0,32.0,38.0,-29.0,-35.0,O,Brett Connolly,Connor Hellebuyck,backhand,home,0,Neutral,0,69.5,95.1,False,5.594117647058823,30.25643716352928,0.0,151.0,60-79,20-39,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Jets,830,faceoff,4.0,69.0,22.0,40.0,7.0,O,Ben Chiarot,Philipp Grubauer,slap,away,0,Neutral,0,49.5,32.6,False,8.15,8.13010235415596,0.0,409.0,40-59,0-19,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Jets,847,shot-on-goal,17.0,40.0,7.0,66.0,1.0,O,Nikolaj Ehlers,Philipp Grubauer,wrist,away,0,Neutral,0,23.0,26.7,True,1.5705882352941176,2.489552921998982,9.778475746841693,17.0,20-39,0-19,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,860,blocked-shot,5.0,54.0,-8.0,-78.0,-22.0,O,Lars Eller,Connor Hellebuyck,wrist,home,0,Neutral,0,24.6,132.7,False,26.54,63.43494882292202,0.0,365.0,20-39,60-79,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Jets,983,giveaway,11.0,81.0,-36.0,89.0,17.0,O,Joel Armia,Philipp Grubauer,wrist,away,0,Advantage,0,17.0,53.6,False,4.872727272727273,90.0,0.0,136.0,0-19,80-99,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,1065,blocked-shot,21.0,-67.0,6.0,-71.0,12.0,O,Nicklas Backstrom,Connor Hellebuyck,wrist,home,0,Advantage,0,21.6,7.2,False,0.3428571428571428,33.690067525979785,0.0,205.0,20-39,20-39,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,1104,takeaway,15.0,-29.0,1.0,-52.0,-21.0,O,Alex Ovechkin,Connor Hellebuyck,slap,home,0,Advantage,0,42.5,31.8,False,2.12,29.57783868126134,0.0,39.0,40-59,20-39,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Jets,1148,blocked-shot,9.0,-62.0,-19.0,-84.0,30.0,D,Josh Morrissey,Philipp Grubauer,wrist,away,0,Neutral,0,175.6,53.7,False,5.966666666666667,9.837850966033225,0.0,165.0,160-179,0-19,False
2017,2017021065,regular-season,REG,1,shot-on-goal,Capitals,1191,blocked-shot,9.0,-79.0,-8.0,-33.0,-26.0,O,Dmitry Orlov,Connor Hellebuyck,wrist,home,0,Neutral,0,61.7,49.4,False,5.488888888888889,24.90476880809517,0.0,87.0,60-79,20-39,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,1231,hit,21.0,23.0,-38.0,-66.0,-34.0,D,Tom Wilson,Connor Hellebuyck,wrist,home,0,Neutral,0,158.7,89.1,False,4.242857142857143,12.37215525051822,0.0,40.0,140-159,0-19,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Jets,1250,shot-on-goal,19.0,-66.0,-34.0,-81.0,-13.0,O,Nikolaj Ehlers,Philipp Grubauer,wrist,away,0,Neutral,0,15.3,25.8,True,1.3578947368421053,58.3924977537511,118.26069661713132,102.0,0-19,40-59,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,1281,faceoff,11.0,-69.0,22.0,35.0,-23.0,O,Matt Niskanen,Connor Hellebuyck,slap,home,0,Neutral,0,58.7,113.3,False,10.3,23.07041224982466,0.0,50.0,40-59,20-39,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Jets,1394,missed-shot,8.0,-76.0,7.0,-86.0,11.0,O,Kyle Connor,Philipp Grubauer,wrap-around,away,0,Neutral,0,11.4,10.8,False,1.35,74.74488129694222,0.0,144.0,0-19,60-79,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,1428,giveaway,234.0,90.0,-25.0,79.0,-7.0,O,Evgeny Kuznetsov,Connor Hellebuyck,backhand,home,0,Neutral,0,12.2,21.1,False,0.0901709401709401,34.99202019855866,0.0,147.0,0-19,20-39,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,1430,shot-on-goal,2.0,79.0,-7.0,75.0,-1.0,O,Tom Wilson,Connor Hellebuyck,wrist,home,0,Neutral,0,14.0,7.2,True,3.6,4.085616779974888,32.23738428492711,2.0,0-19,0-19,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,1432,shot-on-goal,2.0,75.0,-1.0,82.0,7.0,O,Alex Ovechkin,Connor Hellebuyck,wrist,home,0,Neutral,0,9.9,10.6,True,5.3,45.0,41.55812893420049,2.0,0-19,40-59,False
2017,2017021065,regular-season,REG,2,goal,Capitals,1433,blocked-shot,2.0,82.0,6.0,85.0,8.0,O,Alex Ovechkin,Connor Hellebuyck,wrist,home,0,Neutral,1,8.9,3.6,False,1.8,63.43494882292202,0.0,1.0,0-19,60-79,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Jets,1517,faceoff,26.0,-69.0,22.0,-60.0,3.0,O,Kyle Connor,Philipp Grubauer,snap,away,0,Neutral,0,29.2,21.0,False,0.8076923076923077,5.906141113770497,0.0,123.0,20-39,0-19,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,1554,missed-shot,34.0,-67.0,-5.0,76.0,-20.0,O,Nicklas Backstrom,Connor Hellebuyck,wrist,home,0,Neutral,0,23.9,143.8,False,4.229411764705882,56.97613244420335,0.0,121.0,20-39,40-59,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Jets,1595,hit,20.0,-23.0,40.0,-46.0,18.0,O,Patrik Laine,Philipp Grubauer,slap,away,0,Neutral,0,46.6,31.8,False,1.59,22.71441235316726,0.0,78.0,40-59,20-39,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Jets,1619,hit,12.0,-94.0,35.0,-69.0,-26.0,O,Brandon Tanev,Philipp Grubauer,snap,away,0,Neutral,0,32.8,65.9,False,5.491666666666667,52.43140797117251,0.0,24.0,20-39,40-59,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,1656,blocked-shot,6.0,-62.0,2.0,87.0,-7.0,O,Jakub Vrana,Connor Hellebuyck,wrist,home,0,Neutral,0,7.3,149.3,False,24.883333333333336,74.05460409907715,0.0,102.0,0-19,60-79,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,1746,takeaway,1.0,61.0,-9.0,69.0,-21.0,O,Evgeny Kuznetsov,Connor Hellebuyck,snap,home,0,Neutral,0,29.0,14.4,False,14.4,46.39718102729637,0.0,90.0,20-39,40-59,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Jets,1784,hit,15.0,90.0,37.0,-74.0,0.0,O,Mathieu Perreault,Philipp Grubauer,wrist,away,0,Neutral,0,15.0,168.1,False,11.206666666666669,0.0,0.0,165.0,0-19,,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,1814,missed-shot,12.0,33.0,26.0,85.0,7.0,O,Jakub Vrana,Connor Hellebuyck,backhand,home,0,Neutral,0,8.1,55.4,False,4.616666666666666,60.25511870305777,0.0,68.0,0-19,60-79,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Jets,1878,hit,9.0,-87.0,-34.0,-43.0,3.0,O,Bryan Little,Philipp Grubauer,snap,away,0,Neutral,0,46.1,57.5,False,6.388888888888889,3.731396999160499,0.0,94.0,40-59,0-19,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Jets,1983,missed-shot,18.0,-75.0,7.0,-49.0,-18.0,O,Patrik Laine,Philipp Grubauer,snap,away,0,Advantage,0,43.9,36.1,False,2.0055555555555555,24.22774531795417,0.0,105.0,40-59,20-39,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Jets,2086,takeaway,9.0,-94.0,-27.0,-52.0,13.0,O,Andrew Copp,Philipp Grubauer,wrist,away,0,Neutral,0,39.2,58.0,False,6.444444444444445,19.358994175694733,0.0,103.0,20-39,0-19,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,2174,stoppage,4.0,,,61.0,-1.0,O,Evgeny Kuznetsov,Connor Hellebuyck,tip-in,home,0,Neutral,0,28.0,,False,,2.045408488887372,0.0,360.0,20-39,0-19,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,2247,faceoff,69.0,69.0,-22.0,37.0,3.0,O,Michal Kempny,Connor Hellebuyck,wrist,home,0,Neutral,0,52.1,40.6,False,0.5884057971014492,3.3018656744350587,0.0,73.0,40-59,0-19,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Jets,2335,hit,18.0,-71.0,-37.0,-33.0,14.0,O,Josh Morrissey,Philipp Grubauer,slap,away,0,Neutral,0,57.7,63.6,False,3.533333333333333,14.036243467926484,0.0,249.0,40-59,0-19,False
2017,2017021065,regular-season,REG,2,shot-on-goal,Capitals,2395,hit,8.0,-30.0,-39.0,64.0,-25.0,O,T.J. Oshie,Connor Hellebuyck,wrist,home,0,Neutral,0,35.4,95.0,False,11.875,45.00000000000001,0.0,148.0,20-39,40-59,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Jets,2428,faceoff,28.0,0.0,0.0,81.0,-36.0,O,Blake Wheeler,Philipp Grubauer,wrist,away,0,Neutral,0,36.9,88.6,False,3.164285714285714,77.47119229084849,0.0,93.0,20-39,60-79,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Capitals,2503,missed-shot,10.0,-63.0,20.0,-33.0,7.0,O,Dmitry Orlov,Connor Hellebuyck,slap,home,0,Neutral,0,56.4,32.7,False,3.2700000000000005,7.125016348901859,0.0,108.0,40-59,0-19,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Jets,2522,shot-on-goal,19.0,-33.0,7.0,55.0,31.0,O,Mathieu Perreault,Philipp Grubauer,slap,away,0,Neutral,0,46.0,91.2,True,4.8,42.35745470593528,45.52736617453248,94.0,40-59,40-59,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Jets,2623,hit,21.0,14.0,40.0,59.0,-29.0,O,Blake Wheeler,Philipp Grubauer,snap,away,0,Neutral,0,41.7,82.4,False,3.923809523809524,44.02897806892084,0.0,101.0,40-59,40-59,False
2017,2017021065,regular-season,REG,3,goal,Jets,2702,blocked-shot,10.0,69.0,-18.0,80.0,16.0,O,Patrik Laine,Philipp Grubauer,wrist,away,0,Neutral,1,18.4,35.7,False,3.5700000000000003,60.64224645720873,0.0,79.0,0-19,60-79,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Jets,2708,faceoff,6.0,0.0,0.0,73.0,-4.0,O,Jack Roslovic,Philipp Grubauer,wrist,away,0,Neutral,0,16.5,73.1,False,12.183333333333332,14.036243467926484,0.0,6.0,0-19,0-19,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Capitals,2734,blocked-shot,22.0,74.0,-1.0,-82.0,29.0,O,T.J. Oshie,Connor Hellebuyck,wrist,home,0,Neutral,0,29.8,158.9,False,7.222727272727273,76.42956561483852,0.0,231.0,20-39,60-79,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Jets,2803,hit,34.0,96.0,8.0,71.0,4.0,O,Kyle Connor,Philipp Grubauer,wrist,away,0,Neutral,0,18.4,25.3,False,0.7441176470588236,12.528807709151492,0.0,95.0,0-19,0-19,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Capitals,2900,faceoff,76.0,69.0,22.0,-80.0,-7.0,O,Andre Burakovsky,Connor Hellebuyck,wrist,home,0,Neutral,0,11.4,151.8,False,1.997368421052632,37.8749836510982,0.0,166.0,0-19,20-39,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Capitals,2907,stoppage,1.0,,,-64.0,16.0,O,Brett Connolly,Connor Hellebuyck,wrist,home,0,Neutral,0,29.7,,False,,32.61924307119282,0.0,7.0,20-39,20-39,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Capitals,3031,faceoff,29.0,69.0,22.0,16.0,5.0,N,Nicklas Backstrom,Connor Hellebuyck,wrist,home,0,Neutral,0,105.1,55.7,False,1.920689655172414,2.726310993906345,0.0,124.0,100-119,0-19,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Jets,3131,blocked-shot,12.0,68.0,3.0,71.0,-34.0,O,Tucker Poolman,Philipp Grubauer,wrist,away,0,Neutral,0,38.5,37.1,False,3.091666666666667,62.10272896905237,0.0,328.0,20-39,60-79,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Jets,3230,blocked-shot,58.0,-71.0,-6.0,71.0,26.0,O,Bryan Little,Philipp Grubauer,snap,away,0,Neutral,0,31.6,145.6,False,2.5103448275862066,55.30484646876603,0.0,99.0,20-39,40-59,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Jets,3314,takeaway,3.0,73.0,26.0,46.0,30.0,O,Joel Armia,Philipp Grubauer,wrist,away,0,Neutral,0,52.4,27.3,False,9.1,34.90249561592473,0.0,84.0,40-59,20-39,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Capitals,3359,hit,6.0,-50.0,-15.0,-72.0,-13.0,O,John Carlson,Connor Hellebuyck,wrist,home,0,Neutral,0,21.4,22.1,False,3.6833333333333336,37.40535663140855,0.0,328.0,20-39,20-39,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Capitals,3361,shot-on-goal,2.0,-72.0,-13.0,-78.0,8.0,O,T.J. Oshie,Connor Hellebuyck,wrist,home,0,Neutral,0,13.6,21.8,True,10.9,36.02737338510361,71.62548681058145,2.0,0-19,20-39,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Capitals,3395,takeaway,26.0,-30.0,38.0,-17.0,-27.0,N,Nicklas Backstrom,Connor Hellebuyck,wrist,home,0,Neutral,0,76.9,66.3,False,2.55,20.55604521958348,0.0,34.0,60-79,20-39,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Jets,3511,giveaway,0.0,90.0,32.0,36.0,33.0,O,Josh Morrissey,Philipp Grubauer,slap,away,0,Neutral,0,62.4,54.0,False,0.0,31.90810693565316,0.0,197.0,60-79,20-39,False
2017,2017021065,regular-season,REG,3,shot-on-goal,Capitals,3585,missed-shot,17.0,-61.0,-21.0,-61.0,-3.0,O,Alex Ovechkin,Connor Hellebuyck,wrist,home,0,Neutral,0,28.2,18.0,False,1.0588235294117647,6.115503566285324,0.0,190.0,20-39,0-19,False
2017,2017021065,regular-season,OT,4,shot-on-goal,Capitals,3684,takeaway,61.0,34.0,-33.0,74.0,17.0,O,John Carlson,Connor Hellebuyck,slap,home,0,Advantage,0,22.7,64.0,False,1.0491803278688523,48.57633437499735,0.0,99.0,20-39,40-59,False
2017,2017021065,regular-season,OT,4,shot-on-goal,Capitals,3688,shot-on-goal,4.0,74.0,17.0,76.0,-5.0,O,T.J. Oshie,Connor Hellebuyck,wrist,home,0,Advantage,0,13.9,22.1,True,5.525,21.037511025421825,65.77603155151861,4.0,0-19,20-39,False
2017,2017021065,regular-season,OT,4,shot-on-goal,Capitals,3695,shot-on-goal,7.0,76.0,-5.0,71.0,-8.0,O,Nicklas Backstrom,Connor Hellebuyck,snap,home,0,Advantage,0,19.7,5.8,True,0.8285714285714285,23.962488974578164,0.811642673457685,7.0,0-19,20-39,False
2017,2017021065,regular-season,OT,4,shot-on-goal,Capitals,3706,shot-on-goal,11.0,71.0,-8.0,58.0,10.0,O,Alex Ovechkin,Connor Hellebuyck,slap,home,0,Advantage,0,32.6,22.2,True,2.018181818181818,17.878696595841316,9.85168336305412,11.0,20-39,0-19,False
2017,2017021065,regular-season,OT,4,shot-on-goal,Capitals,3734,hit,14.0,-61.0,-32.0,60.0,23.0,O,Alex Ovechkin,Connor Hellebuyck,slap,home,0,Advantage,0,37.0,132.9,False,9.492857142857144,38.41805534482199,0.0,28.0,20-39,20-39,False
2017,2017021065,regular-season,OT,4,shot-on-goal,Capitals,3807,hit,2.0,57.0,-12.0,74.0,1.0,O,John Carlson,Connor Hellebuyck,wrist,home,0,Neutral,0,15.0,21.4,False,10.7,3.8140748342903774,0.0,73.0,0-19,0-19,False
2017,2017021065,regular-season,OT,4,goal,Capitals,3851,faceoff,43.0,69.0,22.0,74.0,1.0,O,Evgeny Kuznetsov,Connor Hellebuyck,wrist,home,0,Neutral,1,15.0,21.6,False,0.5023255813953489,3.8140748342903774,0.0,44.0,0-19,0-19,False
